"Tm","Rec","Player","Age","Pos","Tgt","Yds","TD","Int","Rat"
"PHI",116,"Zach Ertz*",28,"TE",156,1163,8,5,"98.9"
"HOU",115,"DeAndre Hopkins*+",26,"WR",163,1572,11,3,"115.9"
"ATL",113,"Julio Jones*",29,"WR",170,1677,8,3,"106.9"
"PIT",111,"JuJu Smith-Schuster*",22,"WR",166,1426,7,4,"97.6"
"NYG",91,"Saquon Barkley*",21,"RB",121,721,4,1,"97.2"
"SFO",88,"George Kittle*",25,"TE",136,1377,5,3,"101.3"
"NOR",149,"Michael Thomas*+",26,"WR",185,1725,9,0,"121.7"
"CAR",116,"Christian McCaffrey*+",23,"RB",142,1005,4,2,"99.7"
"NWE",100,"Julian Edelman",33,"WR",153,1117,6,3,"91.9"
"OAK",90,"Darren Waller",27,"TE",117,1145,3,2,"108.4"
"CLE",83,"Jarvis Landry*",27,"WR",138,1174,6,8,"78"
"DEN",72,"Courtland Sutton*",24,"WR",124,1112,6,2,"97.2"
"BUF",127,"Stefon Diggs*+",27,"WR",166,1535,8,2,"115.4"
"ARI",115,"DeAndre Hopkins*",28,"WR",160,1407,6,2,"105.9"
"LVR",107,"Darren Waller*",28,"TE",145,1196,9,3,"110"
"CHI",102,"Allen Robinson",27,"WR",151,1250,6,5,"92.3"
"SEA",100,"Tyler Lockett",28,"WR",132,1054,10,1,"120.6"
"WAS",87,"Terry McLaurin",25,"WR",134,1118,4,3,"91.6"
"LAR",145,"Cooper Kupp*+",28,"WR",191,1947,16,5,"124.8"
"GNB",123,"Davante Adams*+",29,"WR",169,1553,11,3,"115.3"
"KAN",111,"Tyreek Hill*",27,"WR",159,1239,9,3,"103.7"
"BAL",107,"Mark Andrews*+",26,"TE",153,1361,9,9,"92.5"
"MIN",128,"Justin Jefferson*+",23,"WR",184,1809,8,5,"104.2"
"MIA",119,"Tyreek Hill*+",28,"WR",170,1710,7,6,"101.3"
"TAM",104,"Chris Godwin",26,"WR",142,1023,3,1,"97.2"
"2TM",86,"T.J. Hockenson*",25,"TE",129,914,6,4,"89.7"
"3TM",25,"Eno Benjamin",23,"RB",34,193,0,0,"87"
"DAL",135,"CeeDee Lamb*+",24,"WR",181,1749,12,1,"124.3"
"MIA",119,"Tyreek Hill*+",29,"WR",171,1799,13,5,"117.1"
"DET",119,"Amon-Ra St. Brown*+",24,"WR",164,1515,10,3,"113.7"
"JAX",114,"Evan Engram*",29,"TE",143,963,4,3,"95.3"
"IND",109,"Michael Pittman Jr.",26,"WR",156,1152,4,6,"83.6"
"LAC",108,"Keenan Allen*",31,"WR",150,1243,7,2,"106.6"
"CIN",100,"Ja'Marr Chase*",23,"WR",145,1216,7,2,"104.8"
"NYJ",95,"Garrett Wilson",23,"WR",168,1042,3,6,"66.1"
"TEN",75,"DeAndre Hopkins",31,"WR",137,1057,7,6,"78.6"
