"Tm","Player","Pos","Age","Tgt","Rec","Yds","TD","Int","Rat"
"MIN","Justin Jefferson*+","WR",23,184,128,1809,8,5,"104.2"
"MIA","Tyreek Hill*+","WR",28,170,119,1710,7,6,"101.3"
"KAN","Travis Kelce*+","TE",33,152,110,1338,12,3,"117.2"
"BUF","Stefon Diggs*","WR",29,154,108,1429,11,1,"120.3"
"LAC","Austin Ekeler","RB",27,127,107,722,5,0,"103.5"
"DAL","CeeDee Lamb*","WR",23,156,107,1359,9,4,"104.1"
"DET","Amon-Ra St. Brown*","WR",23,146,106,1161,6,1,"106.6"
"TAM","Chris Godwin","WR",26,142,104,1023,3,1,"97.2"
"LVR","Davante Adams*+","WR",30,180,100,1516,14,6,"95.5"
"IND","Michael Pittman Jr.","WR",25,141,99,925,4,3,"88.5"
"SEA","D.K. Metcalf","WR",25,141,90,1048,6,4,"88.6"
"PHI","A.J. Brown*","WR",25,145,88,1496,11,3,"112.3"
"CIN","Ja'Marr Chase*","WR",22,134,87,1046,9,4,"98.7"
"2TM","T.J. Hockenson*","TE",25,129,86,914,6,4,"89.7"
"PIT","Diontae Johnson","WR",26,147,86,882,0,6,"58.8"
"JAX","Christian Kirk","WR",26,133,84,1108,8,4,"96.9"
"NYJ","Garrett Wilson","WR",22,147,83,1103,4,1,"86.6"
"SFO","Brandon Aiyuk","WR",24,114,78,1015,8,1,"115.9"
"CLE","Amari Cooper","WR",28,132,78,1160,9,3,"101.2"
"WAS","Terry McLaurin*","WR",27,120,77,1191,5,2,"103.9"
"BAL","Mark Andrews*","TE",27,113,73,847,5,3,"90.8"
"LAR","Tyler Higbee","TE",29,108,72,620,3,3,"79.2"
"ATL","Drake London","WR",21,117,72,866,4,3,"84.9"
"NOR","Chris Olave","WR",22,119,72,1042,4,5,"82.7"
"ARI","Marquise Brown","WR",25,107,67,709,3,7,"64"
"NWE","Jakobi Meyers","WR",26,96,67,804,6,0,"116"
"DEN","Courtland Sutton","WR",27,109,64,829,2,4,"73.5"
"CAR","D.J. Moore","WR",25,118,63,888,7,5,"80"
"GNB","Allen Lazard","WR",27,100,60,788,6,5,"84.1"
"NYG","Saquon Barkley*","RB",25,76,57,338,0,1,"77.6"
"HOU","Brandin Cooks","WR",29,93,57,699,3,4,"77.3"
"TEN","Robert Woods","WR",30,91,53,527,2,3,"68.3"
"CHI","Cole Kmet","TE",23,69,50,544,7,4,"105"
"3TM","Eno Benjamin","RB",23,34,25,193,0,0,"87"
