"Tm","Rec","Player","Age","Pos","Tgt","Yds","TD","Ctch%"
"BUF",127,"Stefon Diggs*+",27,"WR",166,1535,8,"76.5%"
"GNB",115,"Davante Adams*+",28,"WR",149,1374,18,"77.2%"
"ARI",115,"DeAndre Hopkins*",28,"WR",160,1407,6,"71.9%"
"LVR",107,"Darren Waller*",28,"TE",145,1196,9,"73.8%"
"KAN",105,"Travis Kelce*+",31,"TE",145,1416,11,"72.4%"
"CHI",102,"Allen Robinson",27,"WR",151,1250,6,"67.5%"
"LAC",100,"Keenan Allen*",28,"WR",147,992,8,"68.0%"
"SEA",100,"Tyler Lockett",28,"WR",132,1054,10,"75.8%"
"PIT",97,"JuJu Smith-Schuster",24,"WR",128,831,9,"75.8%"
"CAR",95,"Robbie Chosen",27,"WR",136,1096,3,"69.9%"
"DAL",92,"Amari Cooper",26,"WR",130,1114,5,"70.8%"
"LAR",92,"Cooper Kupp",27,"WR",124,974,3,"74.2%"
"ATL",90,"Calvin Ridley",26,"WR",143,1374,9,"62.9%"
"MIN",88,"Justin Jefferson*",21,"WR",125,1400,7,"70.4%"
"WAS",87,"Terry McLaurin",25,"WR",134,1118,4,"64.9%"
"NOR",83,"Alvin Kamara*",25,"RB",107,756,5,"77.6%"
"HOU",81,"Brandin Cooks",27,"WR",119,1150,6,"68.1%"
"CIN",79,"Tyler Boyd",26,"WR",110,841,4,"71.8%"
"DET",76,"Marvin Jones",30,"WR",115,978,9,"66.1%"
"CLE",72,"Jarvis Landry",28,"WR",101,840,3,"71.3%"
"TEN",70,"A.J. Brown*",23,"WR",106,1075,11,"66.0%"
"TAM",70,"Mike Evans",27,"WR",109,1006,13,"64.2%"
"NYG",66,"Sterling Shepard",27,"WR",90,656,3,"73.3%"
"IND",63,"Nyheim Hines",24,"RB",76,482,4,"82.9%"
"MIA",63,"DeVante Parker",27,"WR",103,793,4,"61.2%"
"DEN",62,"Noah Fant",23,"TE",93,673,3,"66.7%"
"SFO",60,"Brandon Aiyuk",22,"WR",96,748,5,"62.5%"
"NYJ",59,"Jamison Crowder",27,"WR",89,699,6,"66.3%"
"NWE",59,"Jakobi Meyers",24,"WR",81,729,0,"72.8%"
"BAL",58,"Mark Andrews",25,"TE",88,701,7,"65.9%"
"BAL",58,"Marquise Brown",23,"WR",100,769,8,"58.0%"
"JAX",58,"Laviska Shenault Jr.",22,"WR",79,600,5,"73.4%"
"PHI",53,"Greg Ward",25,"WR",79,419,6,"67.1%"
"2TM",29,"Kalen Ballage",25,"RB",37,166,0,"78.4%"
