"Tm","Rec","Player","Age","Pos","Tgt","Yds","TD","Ctch%"
"HOU",115,"DeAndre Hopkins*+",26,"WR",163,1572,11,"70.6%"
"ATL",113,"Julio Jones*",29,"WR",170,1677,8,"66.5%"
"GNB",111,"Davante Adams*",26,"WR",169,1386,13,"65.7%"
"SFO",88,"George Kittle*",25,"TE",136,1377,5,"64.7%"
"CLE",81,"Jarvis Landry*",26,"WR",149,976,4,"54.4%"
"NYG",77,"Odell Beckham Jr.",26,"WR",124,1052,6,"62.1%"
"NOR",149,"Michael Thomas*+",26,"WR",185,1725,9,"80.5%"
"NWE",100,"Julian Edelman",33,"WR",153,1117,6,"65.4%"
"CHI",98,"Allen Robinson",26,"WR",154,1147,7,"63.6%"
"CIN",90,"Tyler Boyd",25,"WR",148,1046,5,"60.8%"
"OAK",90,"Darren Waller",27,"TE",117,1145,3,"76.9%"
"DEN",72,"Courtland Sutton*",24,"WR",124,1112,6,"58.1%"
"BUF",127,"Stefon Diggs*+",27,"WR",166,1535,8,"76.5%"
"ARI",115,"DeAndre Hopkins*",28,"WR",160,1407,6,"71.9%"
"WAS",87,"Terry McLaurin",25,"WR",134,1118,4,"64.9%"
"LAR",145,"Cooper Kupp*+",28,"WR",191,1947,16,"75.9%"
"GNB",123,"Davante Adams*+",29,"WR",169,1553,11,"72.8%"
"KAN",111,"Tyreek Hill*",27,"WR",159,1239,9,"69.8%"
"BAL",107,"Mark Andrews*+",26,"TE",153,1361,9,"69.9%"
"PIT",107,"Diontae Johnson*",25,"WR",169,1161,8,"63.3%"
"LAC",106,"Keenan Allen*",29,"WR",157,1138,6,"67.5%"
"CAR",93,"D.J. Moore",24,"WR",163,1157,4,"57.1%"
"MIN",128,"Justin Jefferson*+",23,"WR",184,1809,8,"69.6%"
"TAM",104,"Chris Godwin",26,"WR",142,1023,3,"73.2%"
"LVR",100,"Davante Adams*+",30,"WR",180,1516,14,"55.6%"
"SEA",90,"D.K. Metcalf",25,"WR",141,1048,6,"63.8%"
"2TM",86,"T.J. Hockenson*",25,"TE",129,914,6,"66.7%"
"3TM",25,"Eno Benjamin",23,"RB",34,193,0,"73.5%"
"DAL",135,"CeeDee Lamb*+",24,"WR",181,1749,12,"74.6%"
"MIA",119,"Tyreek Hill*+",29,"WR",171,1799,13,"69.6%"
"DET",119,"Amon-Ra St. Brown*+",24,"WR",164,1515,10,"72.6%"
"JAX",114,"Evan Engram*",29,"TE",143,963,4,"79.7%"
"IND",109,"Michael Pittman Jr.",26,"WR",156,1152,4,"69.9%"
"PHI",106,"A.J. Brown*",26,"WR",158,1456,7,"67.1%"
"NYJ",95,"Garrett Wilson",23,"WR",168,1042,3,"56.5%"
"TEN",75,"DeAndre Hopkins",31,"WR",137,1057,7,"54.7%"
