"Tm","Rec","Player","Age","Pos","Tgt","Yds","TD","Int","Rat"
"BUF",127,"Stefon Diggs*+",27,"WR",166,1535,8,2,"115.4"
"GNB",115,"Davante Adams*+",28,"WR",149,1374,18,3,"136"
"ARI",115,"DeAndre Hopkins*",28,"WR",160,1407,6,2,"105.9"
"LVR",107,"Darren Waller*",28,"TE",145,1196,9,3,"110"
"KAN",105,"Travis Kelce*+",31,"TE",145,1416,11,3,"119.8"
"CHI",102,"Allen Robinson",27,"WR",151,1250,6,5,"92.3"
"LAC",100,"Keenan Allen*",28,"WR",147,992,8,5,"90.9"
"SEA",100,"Tyler Lockett",28,"WR",132,1054,10,1,"120.6"
"PIT",97,"JuJu Smith-Schuster",24,"WR",128,831,9,5,"99.4"
"CAR",95,"Robbie Chosen",27,"WR",136,1096,3,2,"95.1"
"DAL",92,"Amari Cooper",26,"WR",130,1114,5,4,"96.8"
"LAR",92,"Cooper Kupp",27,"WR",124,974,3,3,"94.6"
"ATL",90,"Calvin Ridley",26,"WR",143,1374,9,5,"101"
"MIN",88,"Justin Jefferson*",21,"WR",125,1400,7,4,"112.7"
"WAS",87,"Terry McLaurin",25,"WR",134,1118,4,3,"91.6"
"NOR",83,"Alvin Kamara*",25,"RB",107,756,5,1,"107.8"
"HOU",81,"Brandin Cooks",27,"WR",119,1150,6,4,"101.9"
"CIN",79,"Tyler Boyd",26,"WR",110,841,4,4,"90.8"
"DET",76,"Marvin Jones",30,"WR",115,978,9,4,"104.2"
"CLE",72,"Jarvis Landry",28,"WR",101,840,3,1,"101.9"
"TEN",70,"A.J. Brown*",23,"WR",106,1075,11,2,"126.1"
"TAM",70,"Mike Evans",27,"WR",109,1006,13,2,"126"
"NYG",66,"Sterling Shepard",27,"WR",90,656,3,1,"100"
"IND",63,"Nyheim Hines",24,"RB",76,482,4,0,"110.6"
"MIA",63,"DeVante Parker",27,"WR",103,793,4,2,"90"
"DEN",62,"Noah Fant",23,"TE",93,673,3,2,"89.6"
"SFO",60,"Brandon Aiyuk",22,"WR",96,748,5,4,"86.6"
"NYJ",59,"Jamison Crowder",27,"WR",89,699,6,3,"98.5"
"NWE",59,"Jakobi Meyers",24,"WR",81,729,0,2,"90"
"BAL",58,"Mark Andrews",25,"TE",88,701,7,1,"112"
"BAL",58,"Marquise Brown",23,"WR",100,769,8,4,"92.5"
"JAX",58,"Laviska Shenault Jr.",22,"WR",79,600,5,0,"116"
"PHI",53,"Greg Ward",25,"WR",79,419,6,2,"94.9"
"2TM",29,"Kalen Ballage",25,"RB",37,166,0,0,"85.4"
