"Tm","Rec","Player","Age","Tgt","Yds","TD","Ctch%"
"2TM",66,"Emmanuel Sanders",32,"WR",869,5,"68.0%"
"2TM",59,"Mohamed Sanu",30,"WR",520,2,"66.3%"
"2TM",50,"Kenyan Drake",25,"RB",345,0,"73.5%"
"3TM",8,"Trevor Davis",26,"WR",111,0,"72.7%"
"3TM",2,"Zach Zenner",28,"RB",19,0,"66.7%"
"3TM",1,"Eric Tomlinson",27,"TE",1,0,"100.0%"
"ARI",75,"Larry Fitzgerald",36,"WR",804,4,"68.8%"
"ARI",68,"Christian Kirk",23,"WR",709,3,"63.0%"
"ARI",36,"David Johnson",28,"RB",370,4,"76.6%"
"ATL",99,"Julio Jones*",30,"WR",1394,6,"63.1%"
"ATL",75,"Austin Hooper*",25,"TE",787,6,"77.3%"
"ATL",63,"Calvin Ridley",25,"WR",866,7,"67.7%"
"BAL",64,"Mark Andrews*",24,"TE",852,10,"65.3%"
"BAL",46,"Marquise Brown",22,"WR",584,7,"64.8%"
"BAL",31,"Nick Boyle",26,"TE",321,2,"72.1%"
"BUF",72,"John Brown",29,"WR",1060,6,"62.6%"
"BUF",67,"Cole Beasley",30,"WR",778,6,"63.2%"
"BUF",29,"Devin Singletary",22,"RB",194,2,"70.7%"
"CAR",116,"Christian McCaffrey*+",23,"RB",1005,4,"81.7%"
"CAR",87,"D.J. Moore",22,"WR",1175,4,"64.4%"
"CAR",54,"Curtis Samuel",23,"WR",627,6,"51.4%"
"CHI",98,"Allen Robinson",26,"WR",1147,7,"63.6%"
"CHI",79,"Tarik Cohen",24,"RB",456,3,"76.0%"
"CHI",52,"Anthony Miller",25,"WR",656,2,"61.2%"
"CIN",90,"Tyler Boyd",25,"WR",1046,5,"60.8%"
"CIN",43,"Alex Erickson",27,"WR",529,0,"55.1%"
"CIN",43,"Tyler Eifert",29,"TE",436,3,"68.3%"
"CLE",83,"Jarvis Landry*",27,"WR",1174,6,"60.1%"
"CLE",74,"Odell Beckham Jr.",27,"WR",1035,4,"55.6%"
"CLE",37,"Kareem Hunt",24,"RB",285,1,"84.1%"
"DAL",79,"Amari Cooper*",25,"WR",1189,8,"66.4%"
"DAL",66,"Michael Gallup",23,"WR",1107,6,"58.4%"
"DAL",63,"Jason Witten",37,"TE",529,4,"75.9%"
"DEN",72,"Courtland Sutton*",24,"WR",1112,6,"58.1%"
"DEN",43,"Royce Freeman",23,"RB",256,1,"86.0%"
"DEN",40,"Noah Fant",22,"TE",562,3,"60.6%"
"DET",65,"Kenny Golladay*",26,"WR",1190,11,"56.0%"
"DET",62,"Danny Amendola",34,"WR",678,1,"63.9%"
"DET",62,"Marvin Jones",29,"WR",779,9,"68.1%"
"GNB",83,"Davante Adams*",27,"WR",997,5,"65.4%"
"GNB",49,"Aaron Jones",25,"RB",474,3,"72.1%"
"GNB",39,"Jamaal Williams",24,"RB",253,5,"86.7%"
"HOU",104,"DeAndre Hopkins*+",27,"WR",1165,7,"69.3%"
"HOU",49,"Will Fuller",25,"WR",670,3,"69.0%"
"HOU",44,"Duke Johnson",26,"RB",410,3,"71.0%"
"IND",45,"T.Y. Hilton",30,"WR",501,5,"66.2%"
"IND",44,"Nyheim Hines",23,"RB",320,0,"75.9%"
"IND",43,"Jack Doyle*",29,"TE",448,4,"59.7%"
"JAX",76,"Leonard Fournette",24,"RB",522,0,"76.0%"
"JAX",73,"DJ Chark*",23,"WR",1008,8,"61.9%"
"JAX",66,"Dede Westbrook",26,"WR",660,3,"65.3%"
