"Tm","Rec","Player","Age","Tgt","Yds","TD","Ctch%"
"2TM",74,"Zach Ertz",31,"TE",763,5,"66.1%"
"2TM",44,"Odell Beckham Jr.",29,"WR",537,5,"53.7%"
"2TM",38,"Ameer Abdullah",28,"RB",289,1,"71.7%"
"3TM",7,"Phillip Dorsett",28,"WR",110,0,"50.0%"
"3TM",0,"Mekhi Sargent",24,"RB",0,0,"0.0%"
"3TM",0,"John Brown",31,"WR",0,0,"0.0%"
"ARI",77,"Christian Kirk",25,"WR",982,5,"74.8%"
"ARI",54,"Rondale Moore",21,"WR",435,1,"84.4%"
"ARI",54,"A.J. Green",33,"WR",848,3,"58.7%"
"ATL",68,"Kyle Pitts*",21,"TE",1026,1,"61.8%"
"ATL",66,"Russell Gage",25,"WR",770,4,"70.2%"
"ATL",52,"Cordarrelle Patterson",30,"RB",548,5,"75.4%"
"BAL",107,"Mark Andrews*+",26,"TE",1361,9,"69.9%"
"BAL",91,"Marquise Brown",24,"WR",1008,6,"62.3%"
"BAL",46,"Rashod Bateman",22,"WR",515,1,"67.6%"
"BUF",103,"Stefon Diggs*",28,"WR",1225,10,"62.8%"
"BUF",82,"Cole Beasley",32,"WR",693,1,"73.2%"
"BUF",49,"Dawson Knox",25,"TE",587,9,"69.0%"
"CAR",93,"D.J. Moore",24,"WR",1157,4,"57.1%"
"CAR",53,"Robbie Chosen",28,"WR",519,5,"48.2%"
"CAR",37,"Christian McCaffrey",25,"RB",343,1,"90.2%"
"CHI",81,"Darnell Mooney",24,"WR",1055,4,"57.9%"
"CHI",60,"Cole Kmet",22,"TE",612,0,"64.5%"
"CHI",42,"David Montgomery",24,"RB",301,0,"82.4%"
"CIN",81,"Ja'Marr Chase*",21,"WR",1455,13,"63.3%"
"CIN",74,"Tee Higgins",22,"WR",1091,6,"67.3%"
"CIN",67,"Tyler Boyd",27,"WR",828,5,"71.3%"
"CLE",52,"Jarvis Landry",29,"WR",570,2,"59.8%"
"CLE",38,"Austin Hooper",27,"TE",345,3,"62.3%"
"CLE",36,"David Njoku",25,"TE",475,4,"67.9%"
"DAL",79,"CeeDee Lamb*",22,"WR",1102,6,"65.8%"
"DAL",78,"Dalton Schultz",25,"TE",808,8,"75.0%"
"DAL",68,"Amari Cooper",27,"WR",865,8,"65.4%"
"DEN",68,"Noah Fant",24,"TE",670,4,"75.6%"
"DEN",58,"Courtland Sutton",26,"WR",776,2,"59.2%"
"DEN",53,"Tim Patrick",28,"WR",734,5,"62.4%"
"DET",90,"Amon-Ra St. Brown",22,"WR",912,5,"75.6%"
"DET",62,"D'Andre Swift",22,"RB",452,2,"79.5%"
"DET",61,"T.J. Hockenson",24,"TE",583,4,"72.6%"
"GNB",123,"Davante Adams*+",29,"WR",1553,11,"72.8%"
"GNB",52,"Aaron Jones",27,"RB",391,6,"80.0%"
"GNB",40,"Allen Lazard",26,"WR",513,8,"66.7%"
"HOU",90,"Brandin Cooks",28,"WR",1037,6,"67.2%"
"HOU",33,"Nico Collins",22,"WR",446,1,"55.0%"
