"Tm","Rec","Player","Age","Pos","Tgt","Yds","TD","Ctch%"
"MIN",128,"Justin Jefferson*+",23,"WR",184,1809,8,"69.6%"
"MIA",119,"Tyreek Hill*+",28,"WR",170,1710,7,"70.0%"
"KAN",110,"Travis Kelce*+",33,"TE",152,1338,12,"72.4%"
"BUF",108,"Stefon Diggs*",29,"WR",154,1429,11,"70.1%"
"LAC",107,"Austin Ekeler",27,"RB",127,722,5,"84.3%"
"DAL",107,"CeeDee Lamb*",23,"WR",156,1359,9,"68.6%"
"DET",106,"Amon-Ra St. Brown*",23,"WR",146,1161,6,"72.6%"
"TAM",104,"Chris Godwin",26,"WR",142,1023,3,"73.2%"
"LVR",100,"Davante Adams*+",30,"WR",180,1516,14,"55.6%"
"IND",99,"Michael Pittman Jr.",25,"WR",141,925,4,"70.2%"
"PHI",95,"DeVonta Smith",24,"WR",136,1196,7,"69.9%"
"SEA",90,"D.K. Metcalf",25,"WR",141,1048,6,"63.8%"
"CIN",87,"Ja'Marr Chase*",22,"WR",134,1046,9,"64.9%"
"2TM",86,"T.J. Hockenson*",25,"TE",129,914,6,"66.7%"
"PIT",86,"Diontae Johnson",26,"WR",147,882,0,"58.5%"
"JAX",84,"Christian Kirk",26,"WR",133,1108,8,"63.2%"
"NYJ",83,"Garrett Wilson",22,"WR",147,1103,4,"56.5%"
"SFO",78,"Brandon Aiyuk",24,"WR",114,1015,8,"68.4%"
"CLE",78,"Amari Cooper",28,"WR",132,1160,9,"59.1%"
"WAS",77,"Terry McLaurin*",27,"WR",120,1191,5,"64.2%"
"LAR",75,"Cooper Kupp",29,"WR",98,812,6,"76.5%"
"BAL",73,"Mark Andrews*",27,"TE",113,847,5,"64.6%"
"ATL",72,"Drake London",21,"WR",117,866,4,"61.5%"
"NOR",72,"Chris Olave",22,"WR",119,1042,4,"60.5%"
"NWE",69,"Rhamondre Stevenson",24,"RB",88,421,1,"78.4%"
"ARI",67,"Marquise Brown",25,"WR",107,709,3,"62.6%"
"DEN",67,"Jerry Jeudy",23,"WR",100,972,6,"67.0%"
"CAR",63,"D.J. Moore",25,"WR",118,888,7,"53.4%"
"GNB",60,"Allen Lazard",27,"WR",100,788,6,"60.0%"
"NYG",57,"Saquon Barkley*",25,"RB",76,338,0,"75.0%"
"HOU",57,"Brandin Cooks",29,"WR",93,699,3,"61.3%"
"NYG",57,"Richie James",27,"WR",70,569,4,"81.4%"
"TEN",53,"Robert Woods",30,"WR",91,527,2,"58.2%"
"CHI",50,"Cole Kmet",23,"TE",69,544,7,"72.5%"
"3TM",25,"Eno Benjamin",23,"RB",34,193,0,"73.5%"
